饰物名字	大类型	副类型	详细类别	重量	价格	五行	耐久	"防御力(外,内)"	附加属性1	附加属性1数值	附加属性2	附加属性2数值	套装编号	要求等级	要求性别	要求体型	要求门派	在界面上显示的小图	在界面上显示的大图	说明文字	装备在身上的时候，使用的显示类型名字	丢落在地面的时候，使用哪一个物件资源	脚本文件	评价等级	是否能交易(0能1不能)	是否能丢弃(0能1不能)	流派需求	是否可维修（0是/1否）
光武大宋元帅号旗	0	102	22602	10	10000	0	100						1257	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大宋元帅号旗	0	102	22603	10	10000	0	100						1258	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大宋元帅号旗	0	102	22604	10	10000	0	100						1259	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大宋元帅号旗	0	102	22605	10	10000	0	100						1260	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅虎符	0	102	22606	10	10000	0	100						1261	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅虎符	0	102	22607	10	10000	0	100						1262	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅虎符	0	102	22608	10	10000	0	100						1263	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅虎符	0	102	22609	10	10000	0	100						1264	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅令旗	0	102	22610	10	10000	0	100						1261	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅令旗	0	102	22611	10	10000	0	100						1262	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅令旗	0	102	22612	10	10000	0	100						1263	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅令旗	0	102	22613	10	10000	0	100						1264	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅号符	0	102	22614	10	10000	0	100						1261	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅号符	0	102	22615	10	10000	0	100						1262	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅号符	0	102	22616	10	10000	0	100						1263	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅号符	0	102	22617	10	10000	0	100						1264	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅号旗	0	102	22618	10	10000	0	100						1261	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅号旗	0	102	22619	10	10000	0	100						1262	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅号旗	0	102	22620	10	10000	0	100						1263	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武大辽元帅号旗	0	102	22621	10	10000	0	100						1264	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	千军大战，帅不可动，动则三军落胆，光武元帅乃军之魂魄，不动如山者。		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅虎符	0	102	22622	10	10000	0	100						1241	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅虎符	0	102	22623	10	10000	0	100						1242	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅虎符	0	102	22624	10	10000	0	100						1243	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅虎符	0	102	22625	10	10000	0	100						1244	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅令旗	0	102	22626	10	10000	0	100						1241	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅令旗	0	102	22627	10	10000	0	100						1242	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅令旗	0	102	22628	10	10000	0	100						1243	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅令旗	0	102	22629	10	10000	0	100						1244	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅号符	0	102	22630	10	10000	0	100						1241	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅号符	0	102	22631	10	10000	0	100						1242	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅号符	0	102	22632	10	10000	0	100						1243	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅号符	0	102	22633	10	10000	0	100						1244	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅号旗	0	102	22634	10	10000	0	100						1241	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅号旗	0	102	22635	10	10000	0	100						1242	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅号旗	0	102	22636	10	10000	0	100						1243	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武御龙元帅号旗	0	102	22637	10	10000	0	100						1244	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武御龙元帅，持御龙虎符,统天下兵马,纵横不败之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅虎符	0	102	22638	10	10000	0	100						1245	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅虎符	0	102	22639	10	10000	0	100						1246	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅虎符	0	102	22640	10	10000	0	100						1247	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅虎符	0	102	22641	10	10000	0	100						1248	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅令旗	0	102	22642	10	10000	0	100						1245	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅令旗	0	102	22643	10	10000	0	100						1246	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅令旗	0	102	22644	10	10000	0	100						1247	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅令旗	0	102	22645	10	10000	0	100						1248	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅号符	0	102	22646	10	10000	0	100						1245	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅号符	0	102	22647	10	10000	0	100						1246	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅号符	0	102	22648	10	10000	0	100						1247	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅号符	0	102	22649	10	10000	0	100						1248	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅号旗	0	102	22650	10	10000	0	100						1245	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅号旗	0	102	22651	10	10000	0	100						1246	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅号旗	0	102	22652	10	10000	0	100						1247	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
光武昭圣元帅号旗	0	102	22653	10	10000	0	100						1248	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"元帅,三军之魂,光武昭圣元帅，上下一心,将士用命,千军辟易之帅也。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	12	1	1		0
+15极品戒指	0	102	22654	10	10000	0	100						1265	1				\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	这是一枚非常强力的戒指……		已绑定装备		12	1	1		0
本如法师之法华戒	0	102	22655	10	100	0	100						1267	80	1	1		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道高僧配饰，大乘妙法之莲华，称为法华。				12	0	1	2	0
本如法师之法华戒	0	102	22656	10	100	0	100						1268	80	1	2		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道高僧配饰，大乘妙法之莲华，称为法华。				12	0	1	2	0
本如法师之法华佩	0	102	22657	10	100	0	100						1267	80	1	1		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	得道高僧配饰，大乘妙法之莲华，称为法华。				12	0	1	2	0
本如法师之法华佩	0	102	22658	10	100	0	100						1268	80	1	2		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	得道高僧配饰，大乘妙法之莲华，称为法华。				12	0	1	2	0
大慧禅师之无心戒	0	102	22659	10	100	0	100						1269	80	1	1		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道高僧配饰，解脱邪念之真心，称为无心。				12	0	1	3	0
大慧禅师之无心戒	0	102	22660	10	100	0	100						1270	80	1	2		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道高僧配饰，解脱邪念之真心，称为无心。				12	0	1	3	0
大慧禅师之无心佩	0	102	22661	10	100	0	100						1269	80	1	1		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	得道高僧配饰，解脱邪念之真心，称为无心。				12	0	1	3	0
大慧禅师之无心佩	0	102	22662	10	100	0	100						1270	80	1	2		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	得道高僧配饰，解脱邪念之真心，称为无心。				12	0	1	3	0
青灯法师之离俗戒	0	102	22663	10	100	0	100						1271	80	1	1		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道高僧配饰，红尘勘破之入道，称为离俗。				12	0	1	4	0
青灯法师之离俗戒	0	102	22664	10	100	0	100						1272	80	1	2		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道高僧配饰，红尘勘破之入道，称为离俗。				12	0	1	4	0
青灯法师之离俗佩	0	102	22665	10	100	0	100						1271	80	1	1		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	得道高僧配饰，红尘勘破之入道，称为离俗。				12	0	1	4	0
青灯法师之离俗佩	0	102	22666	10	100	0	100						1272	80	1	2		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	得道高僧配饰，红尘勘破之入道，称为离俗。				12	0	1	4	0
千机隐士之漆身戒	0	102	22667	10	100	0	100						1273	80	1	1		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	高阶刺客配饰，犹杀人于不备而遁身之万物。				12	0	1	6	0
千机隐士之漆身戒	0	102	22668	10	100	0	100						1274	80	1	2		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	高阶刺客配饰，犹杀人于不备而遁身之万物。				12	0	1	6	0
千机隐士之漆身戒	0	102	22669	10	100	0	100						1275	80	2	3		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	高阶刺客配饰，犹杀人于不备而遁身之万物。				12	0	1	6	0
千机隐士之漆身戒	0	102	22670	10	100	0	100						1276	80	2	4		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	高阶刺客配饰，犹杀人于不备而遁身之万物。				12	0	1	6	0
千机隐士之漆身佩	0	102	22671	10	100	0	100						1273	80	1	1		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	高阶刺客配饰，犹杀人于不备而遁身之万物。				12	0	1	6	0
千机隐士之漆身佩	0	102	22672	10	100	0	100						1274	80	1	2		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	高阶刺客配饰，犹杀人于不备而遁身之万物。				12	0	1	6	0
千机隐士之漆身佩	0	102	22673	10	100	0	100						1275	80	2	3		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	高阶刺客配饰，犹杀人于不备而遁身之万物。				12	0	1	6	0
千机隐士之漆身佩	0	102	22674	10	100	0	100						1276	80	2	4		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	高阶刺客配饰，犹杀人于不备而遁身之万物。				12	0	1	6	0
昙彻尼之幽隐戒	0	102	22675	10	100	0	100						1277	80	2	3		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道比丘尼配饰，剖毫析滞探赜幽隐。				12	0	1	8	0
昙彻尼之幽隐戒	0	102	22676	10	100	0	100						1278	80	2	4		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道比丘尼配饰，剖毫析滞探赜幽隐。				12	0	1	8	0
昙彻尼之幽隐佩	0	102	22677	10	100	0	100						1277	80	2	3		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	得道比丘尼配饰，剖毫析滞探赜幽隐。				12	0	1	8	0
昙彻尼之幽隐佩	0	102	22678	10	100	0	100						1278	80	2	4		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	得道比丘尼配饰，剖毫析滞探赜幽隐。				12	0	1	8	0
古琴圣之绕梁戒	0	102	22679	10	100	0	100						1279	80	2	3		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	上古琴师配饰，余音萦弦三日而不去。				12	0	1	9	0
古琴圣之绕梁戒	0	102	22680	10	100	0	100						1280	80	2	4		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	上古琴师配饰，余音萦弦三日而不去。				12	0	1	9	0
古琴圣之绕梁佩	0	102	22681	10	100	0	100						1279	80	2	3		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	上古琴师配饰，余音萦弦三日而不去。				12	0	1	9	0
古琴圣之绕梁佩	0	102	22682	10	100	0	100						1280	80	2	4		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	上古琴师配饰，余音萦弦三日而不去。				12	0	1	9	0
传功长老之四海戒	0	102	22683	10	100	0	100						1281	80	1	1		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	九袋长老配饰，逍遥四海而天下为家。				12	0	1	11	0
传功长老之四海戒	0	102	22684	10	100	0	100						1282	80	1	2		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	九袋长老配饰，逍遥四海而天下为家。				12	0	1	11	0
传功长老之四海戒	0	102	22685	10	100	0	100						1283	80	2	3		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	九袋长老配饰，逍遥四海而天下为家。				12	0	1	11	0
传功长老之四海戒	0	102	22686	10	100	0	100						1284	80	2	4		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	九袋长老配饰，逍遥四海而天下为家。				12	0	1	11	0
传功长老之四海佩	0	102	22687	10	100	0	100						1281	80	1	1		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	九袋长老配饰，逍遥四海而天下为家。				12	0	1	11	0
传功长老之四海佩	0	102	22688	10	100	0	100						1282	80	1	2		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	九袋长老配饰，逍遥四海而天下为家。				12	0	1	11	0
传功长老之四海佩	0	102	22689	10	100	0	100						1283	80	2	3		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	九袋长老配饰，逍遥四海而天下为家。				12	0	1	11	0
传功长老之四海佩	0	102	22690	10	100	0	100						1284	80	2	4		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	九袋长老配饰，逍遥四海而天下为家。				12	0	1	11	0
掌钵长老之穷楼戒	0	102	22691	10	100	0	100						1285	80	1	1		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	九袋长老配饰，家徒四壁而侠义为先。				12	0	1	12	0
掌钵长老之穷楼戒	0	102	22692	10	100	0	100						1286	80	1	2		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	九袋长老配饰，家徒四壁而侠义为先。				12	0	1	12	0
掌钵长老之穷楼戒	0	102	22693	10	100	0	100						1287	80	2	3		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	九袋长老配饰，家徒四壁而侠义为先。				12	0	1	12	0
掌钵长老之穷楼戒	0	102	22694	10	100	0	100						1288	80	2	4		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	九袋长老配饰，家徒四壁而侠义为先。				12	0	1	12	0
掌钵长老之穷楼佩	0	102	22695	10	100	0	100						1285	80	1	1		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	九袋长老配饰，家徒四壁而侠义为先。				12	0	1	12	0
掌钵长老之穷楼佩	0	102	22696	10	100	0	100						1286	80	1	2		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	九袋长老配饰，家徒四壁而侠义为先。				12	0	1	12	0
掌钵长老之穷楼佩	0	102	22697	10	100	0	100						1287	80	2	3		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	九袋长老配饰，家徒四壁而侠义为先。				12	0	1	12	0
掌钵长老之穷楼佩	0	102	22698	10	100	0	100						1288	80	2	4		\image\item\ring\师门六套玉佩a1.spr	\image\item\ring\师门六套玉佩a0.spr	九袋长老配饰，家徒四壁而侠义为先。				12	0	1	12	0
太清真人之道德戒	0	102	22699	10	100	0	100						1289	80	1	1		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道道人配饰，道兮德兮乃众妙之门。				12	0	1	14	0
太清真人之道德戒	0	102	22700	10	100	0	100						1290	80	1	2		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道道人配饰，道兮德兮乃众妙之门。				12	0	1	14	0
太清真人之道德戒	0	102	22701	10	100	0	100						1291	80	2	3		\image\item\ring\师门六套戒指a1.spr	\image\item\ring\师门六套戒指a0.spr	得道道人配饰，道兮德兮乃众妙之门。				12	0	1	14	0
